Date,AverageTemperature,AverageHumidity
01/01/2020 00:00,9.25,0.93
01/01/2020 00:30,9.25,0.93
01/01/2020 01:00,9.27,0.94
01/01/2020 01:30,9.27,0.94
01/01/2020 02:00,9.17,0.96
01/01/2020 02:30,9.17,0.96
01/01/2020 03:00,9,0.97
01/01/2020 03:30,9,0.97
01/01/2020 04:00,8.96,0.97
01/01/2020 04:30,8.96,0.97
01/01/2020 05:00,8.85,0.98
01/01/2020 05:30,8.85,0.98
01/01/2020 06:00,8.41,0.98
01/01/2020 06:30,8.41,0.98
01/01/2020 07:00,7.7,0.99
01/01/2020 07:30,7.7,0.99
01/01/2020 08:00,6.97,0.99
01/01/2020 08:30,6.97,0.99
01/01/2020 09:00,6.47,0.98
01/01/2020 09:30,6.47,0.98
01/01/2020 10:00,6.36,0.94
01/01/2020 10:30,6.36,0.94
01/01/2020 11:00,6.36,0.87
01/01/2020 11:00,6.36,0.87
01/01/2020 12:00,6.8,0.78
01/01/2020 12:30,6.8,0.78
01/01/2020 13:00,6.71,0.76
01/01/2020 13:30,6.71,0.76
01/01/2020 14:00,6.45,0.76
01/01/2020 14:30,6.45,0.76
01/01/2020 15:00,5.97,0.78
01/01/2020 15:30,5.97,0.78
01/01/2020 16:00,5.29,0.8
01/01/2020 16:30,5.29,0.8
01/01/2020 17:00,4.61,0.82
01/01/2020 17:30,4.61,0.82
01/01/2020 18:00,3.98,0.82
01/01/2020 18:30,3.98,0.82
01/01/2020 19:00,3.75,0.82
01/01/2020 19:30,3.75,0.82
01/01/2020 20:00,3.4,0.81
01/01/2020 20:30,3.4,0.81
01/01/2020 21:00,3.03,0.81
01/01/2020 21:30,3.03,0.81
01/01/2020 22:00,2.65,0.8
01/01/2020 22:30,2.65,0.8
01/01/2020 23:00,2.25,0.81
01/01/2020 23:30,2.25,0.81
02/01/2020 00:00,2.46,0.73
02/01/2020 00:30,2.46,0.73
02/01/2020 01:00,1.9,0.75
02/01/2020 01:30,1.9,0.75
02/01/2020 02:00,1.22,0.79
02/01/2020 02:30,1.22,0.79
02/01/2020 03:00,0.52,0.82
02/01/2020 03:30,0.52,0.82
02/01/2020 04:00,-0.06,0.84
02/01/2020 04:30,-0.06,0.84
02/01/2020 05:00,-0.22,0.85
02/01/2020 05:30,-0.22,0.85
02/01/2020 06:00,-0.26,0.87
02/01/2020 06:30,-0.26,0.87
02/01/2020 07:00,-0.51,0.89
02/01/2020 07:30,-0.51,0.89
02/01/2020 08:00,-0.72,0.9
02/01/2020 08:30,-0.72,0.9
02/01/2020 09:00,-0.45,0.89
02/01/2020 09:30,-0.45,0.89
02/01/2020 10:00,0.55,0.84
02/01/2020 10:30,0.55,0.84
02/01/2020 11:00,1.97,0.77
02/01/2020 11:00,1.97,0.77
02/01/2020 12:00,3.58,0.75
02/01/2020 12:30,3.58,0.75
02/01/2020 13:00,4.08,0.74
02/01/2020 13:30,4.08,0.74
02/01/2020 14:00,3.85,0.76
02/01/2020 14:30,3.85,0.76
02/01/2020 15:00,3.2,0.79
02/01/2020 15:30,3.2,0.79
02/01/2020 16:00,2.15,0.85
02/01/2020 16:30,2.15,0.85
02/01/2020 17:00,0.98,0.9
02/01/2020 17:30,0.98,0.9
02/01/2020 18:00,0.05,0.93
02/01/2020 18:30,0.05,0.93
02/01/2020 19:00,-0.11,0.94
02/01/2020 19:30,-0.11,0.94
02/01/2020 20:00,-0.07,0.93
02/01/2020 20:30,-0.07,0.93
02/01/2020 21:00,-0.23,0.92
02/01/2020 21:30,-0.23,0.92
02/01/2020 22:00,-0.42,0.92
02/01/2020 22:30,-0.42,0.92
02/01/2020 23:00,-0.63,0.92
02/01/2020 23:30,-0.63,0.92
03/01/2020 00:00,1.77,0.9
03/01/2020 00:30,1.77,0.9
03/01/2020 01:00,1.09,0.9
03/01/2020 01:30,1.09,0.9
03/01/2020 02:00,-0.2,0.9
03/01/2020 02:30,-0.2,0.9
03/01/2020 03:00,-1.45,0.9
03/01/2020 03:30,-1.45,0.9
03/01/2020 04:00,-2.03,0.91
03/01/2020 04:30,-2.03,0.91
03/01/2020 05:00,-2.17,0.91
03/01/2020 05:30,-2.17,0.91
03/01/2020 06:00,-2.35,0.93
03/01/2020 06:30,-2.35,0.93
03/01/2020 07:00,-2.76,0.95
03/01/2020 07:30,-2.76,0.95
03/01/2020 08:00,-3.15,0.96
03/01/2020 08:30,-3.15,0.96
03/01/2020 09:00,-3.06,0.96
03/01/2020 09:30,-3.06,0.96
03/01/2020 10:00,-2.06,0.91
03/01/2020 10:30,-2.06,0.91
03/01/2020 11:00,-0.25,0.83
03/01/2020 11:00,-0.25,0.83
03/01/2020 12:00,2.03,0.79
03/01/2020 12:30,2.03,0.79
03/01/2020 13:00,2.7,0.77
03/01/2020 13:30,2.7,0.77
03/01/2020 14:00,2.56,0.79
03/01/2020 14:30,2.56,0.79
03/01/2020 15:00,1.39,0.87
03/01/2020 15:30,1.39,0.87
03/01/2020 16:00,0.64,0.9
03/01/2020 16:30,0.64,0.9
03/01/2020 17:00,-0.43,0.94
03/01/2020 17:30,-0.43,0.94
03/01/2020 18:00,-1.33,0.96
03/01/2020 18:30,-1.33,0.96
03/01/2020 19:00,-1.62,0.96
03/01/2020 19:30,-1.62,0.96
03/01/2020 20:00,-1.55,0.95
03/01/2020 20:30,-1.55,0.95
03/01/2020 21:00,-1.66,0.94
03/01/2020 21:30,-1.66,0.94
03/01/2020 22:00,-1.78,0.93
03/01/2020 22:30,-1.78,0.93
03/01/2020 23:00,-1.9,0.92
03/01/2020 23:30,-1.9,0.92
04/01/2020 00:00,1.2,0.89
04/01/2020 00:30,1.2,0.89
04/01/2020 01:00,0.16,0.9
04/01/2020 01:30,0.16,0.9
04/01/2020 02:00,-1.81,0.94
04/01/2020 02:30,-1.81,0.94
04/01/2020 03:00,-3.64,0.99
04/01/2020 03:30,-3.64,0.99
04/01/2020 04:00,-4.28,1
04/01/2020 04:30,-4.28,1
04/01/2020 05:00,-4.3,1
04/01/2020 05:30,-4.3,1
04/01/2020 06:00,-4.13,1
04/01/2020 06:30,-4.13,1
04/01/2020 07:00,-4.14,1
04/01/2020 07:30,-4.14,1
04/01/2020 08:00,-4.18,1
04/01/2020 08:30,-4.18,1
04/01/2020 09:00,-3.93,1
04/01/2020 09:30,-3.93,1
04/01/2020 10:00,-2.67,1
04/01/2020 10:30,-2.67,1
04/01/2020 11:00,-0.81,0.99
04/01/2020 11:00,-0.81,0.99
04/01/2020 12:00,2.51,0.92
04/01/2020 12:30,2.51,0.92
04/01/2020 13:00,3.19,0.91
04/01/2020 13:30,3.19,0.91
04/01/2020 14:00,3.03,0.93
04/01/2020 14:30,3.03,0.93
04/01/2020 15:00,2.52,0.96
04/01/2020 15:30,2.52,0.96
04/01/2020 16:00,1.63,0.99
04/01/2020 16:30,1.63,0.99
04/01/2020 17:00,0.66,1
04/01/2020 17:30,0.66,1
04/01/2020 18:00,-0.35,1
04/01/2020 18:30,-0.35,1
04/01/2020 19:00,-0.58,1
04/01/2020 19:30,-0.58,1
04/01/2020 20:00,-0.6,1
04/01/2020 20:30,-0.6,1
04/01/2020 21:00,-0.7,1
04/01/2020 21:30,-0.7,1
04/01/2020 22:00,-0.75,1
04/01/2020 22:30,-0.75,1
04/01/2020 23:00,-0.66,1
04/01/2020 23:30,-0.66,1
05/01/2020 00:00,2.72,0.88
05/01/2020 00:30,2.72,0.88
05/01/2020 01:00,1.72,0.89
05/01/2020 01:30,1.72,0.89
05/01/2020 02:00,-0.32,0.94
05/01/2020 02:30,-0.32,0.94
05/01/2020 03:00,-2.14,1
05/01/2020 03:30,-2.14,1
05/01/2020 04:00,-2.82,1
05/01/2020 04:30,-2.82,1
05/01/2020 05:00,-2.68,1
05/01/2020 05:30,-2.68,1
05/01/2020 06:00,-2.35,1
05/01/2020 06:30,-2.35,1
05/01/2020 07:00,-2.62,1
05/01/2020 07:30,-2.62,1
05/01/2020 08:00,-2.94,1
05/01/2020 08:30,-2.94,1
05/01/2020 09:00,-2.71,1
05/01/2020 09:30,-2.71,1
05/01/2020 10:00,-1.37,1
05/01/2020 10:30,-1.37,1
05/01/2020 11:00,0.75,1
05/01/2020 11:00,0.75,1
05/01/2020 12:00,3.93,0.9
05/01/2020 12:30,3.93,0.9
05/01/2020 13:00,4.55,0.91
05/01/2020 13:30,4.55,0.91
05/01/2020 14:00,4.22,0.95
05/01/2020 14:30,4.22,0.95
05/01/2020 15:00,3.11,1
05/01/2020 15:30,3.11,1
05/01/2020 16:00,2.34,1
05/01/2020 16:30,2.34,1
05/01/2020 17:00,1.27,1
05/01/2020 17:30,1.27,1
05/01/2020 18:00,0.67,1
05/01/2020 18:30,0.67,1
05/01/2020 19:00,0.46,1
05/01/2020 19:30,0.46,1
05/01/2020 20:00,0.44,1
05/01/2020 20:30,0.44,1
05/01/2020 21:00,0.24,1
05/01/2020 21:30,0.24,1
05/01/2020 22:00,0.46,1
05/01/2020 22:30,0.46,1
05/01/2020 23:00,0.94,1
05/01/2020 23:30,0.94,1
06/01/2020 00:00,4.88,0.97
06/01/2020 00:30,4.88,0.97
06/01/2020 01:00,4.54,0.99
06/01/2020 01:30,4.54,0.99
06/01/2020 02:00,3.56,1
06/01/2020 02:30,3.56,1
06/01/2020 03:00,2.71,1
06/01/2020 03:30,2.71,1
06/01/2020 04:00,2.35,1
06/01/2020 04:30,2.35,1
06/01/2020 05:00,2.61,1
06/01/2020 05:30,2.61,1
06/01/2020 06:00,3.29,1
06/01/2020 06:30,3.29,1
06/01/2020 07:00,3.33,1
06/01/2020 07:30,3.33,1
06/01/2020 08:00,3.36,1
06/01/2020 08:30,3.36,1
06/01/2020 09:00,3.66,1
06/01/2020 09:30,3.66,1
06/01/2020 10:00,4.48,1
06/01/2020 10:30,4.48,1
06/01/2020 11:00,5.54,0.99
06/01/2020 11:00,5.54,0.99
06/01/2020 12:00,7.98,0.91
06/01/2020 12:30,7.98,0.91
06/01/2020 13:00,8.4,0.9
06/01/2020 13:30,8.4,0.9
06/01/2020 14:00,8.11,0.93
06/01/2020 14:30,8.11,0.93
06/01/2020 15:00,7.01,0.99
06/01/2020 15:30,7.01,0.99
06/01/2020 16:00,6.53,1
06/01/2020 16:30,6.53,1
06/01/2020 17:00,5.82,1
06/01/2020 17:30,5.82,1
06/01/2020 18:00,5.54,1
06/01/2020 18:30,5.54,1
06/01/2020 19:00,5.66,1
06/01/2020 19:30,5.66,1
06/01/2020 20:00,5.65,1
06/01/2020 20:30,5.65,1
06/01/2020 21:00,5.59,1
06/01/2020 21:30,5.59,1
06/01/2020 22:00,5.56,1
06/01/2020 22:30,5.56,1
06/01/2020 23:00,5.47,1
06/01/2020 23:30,5.47,1
07/01/2020 00:00,7.85,0.99
07/01/2020 00:30,7.85,0.99
07/01/2020 01:00,7.61,1
07/01/2020 01:30,7.61,1
07/01/2020 02:00,6.88,1
07/01/2020 02:30,6.88,1
07/01/2020 03:00,6.32,1
07/01/2020 03:30,6.32,1
07/01/2020 04:00,6.05,1
07/01/2020 04:30,6.05,1
07/01/2020 05:00,6.13,1
07/01/2020 05:30,6.13,1
07/01/2020 06:00,6.5,1
07/01/2020 06:30,6.5,1
07/01/2020 07:00,6.92,1
07/01/2020 07:30,6.92,1
07/01/2020 08:00,7.41,1
07/01/2020 08:30,7.41,1
07/01/2020 09:00,7.84,1
07/01/2020 09:30,7.84,1
07/01/2020 10:00,8.44,0.99
07/01/2020 10:30,8.44,0.99
07/01/2020 11:00,8.96,0.96
07/01/2020 11:00,8.96,0.96
07/01/2020 12:00,10.43,0.88
07/01/2020 12:30,10.43,0.88
07/01/2020 13:00,10.76,0.85
07/01/2020 13:30,10.76,0.85
07/01/2020 14:00,10.72,0.85
07/01/2020 14:30,10.72,0.85
07/01/2020 15:00,9.26,0.9
07/01/2020 15:30,9.26,0.9
07/01/2020 16:00,8.98,0.86
07/01/2020 16:30,8.98,0.86
07/01/2020 17:00,8.06,0.84
07/01/2020 17:30,8.06,0.84
07/01/2020 18:00,7.27,0.83
07/01/2020 18:30,7.27,0.83
07/01/2020 19:00,7.3,0.83
07/01/2020 19:30,7.3,0.83
07/01/2020 20:00,7.48,0.82
07/01/2020 20:30,7.48,0.82
07/01/2020 21:00,6.78,0.88
07/01/2020 21:30,6.78,0.88
07/01/2020 22:00,6.48,0.9
07/01/2020 22:30,6.48,0.9
07/01/2020 23:00,7.08,0.85
07/01/2020 23:30,7.08,0.85
